Unnamed: 0,volume,volume_weighted_average_price,open,close,high,low,time,number_transactions,macd,macd_signal,macd_diff,rsi,rsi_perc,stoch_k,stoch_k_signal,stoch_k_signal_perc,williams_r,williams_r_perc,stoch_rsi
0,12595.15069052999,3069.1479,3078.42,3043.74765942,3098.09,3040.8,1632355200000,22974,,,,,1.0,,,1.0,,1.0,1.0
1,7842.31132433,3055.9947,3045.11,3071.28,3077.3,3034.4,1632358800000,16915,,,,,1.0,,,1.0,,1.0,1.0
2,8841.178901589996,3075.9365,3071.23,3078.37,3090.01,3054.48,1632362400000,14733,,,,,1.0,,,1.0,,1.0,1.0
3,14743.939097109993,3098.4506,3078.37,3120.82,3124.24,3066.92,1632366000000,23883,,,,,1.0,,,1.0,,1.0,1.0
4,15281.291678859996,3119.0623,3118.8,3115.04,3136.41,3102.6,1632369600000,19022,,,,,1.0,,,1.0,,1.0,1.0
5,5981.915768589998,3117.5609,3113.91808458,3114.88,3137.13,3103.8,1632373200000,12354,,,,,1.0,,,1.0,,1.0,1.0
6,8649.0899185,3115.5392,3116.16,3135.99,3140.23,3098.1,1632376800000,18004,,,,,1.0,,,1.0,,1.0,1.0
7,7348.371914269996,3131.387,3136.0,3147.8,3150.0,3113.9,1632380400000,12598,,,,,1.0,,,1.0,,1.0,1.0
8,6748.601197969997,3134.413,3147.99,3120.45,3151.3,3117.1,1632384000000,10867,,,,,1.0,,,1.0,,1.0,1.0
9,4998.638608790002,3121.6105,3121.03,3114.7,3138.39,3107.2,1632387600000,10166,,,,,1.0,,,1.0,,1.0,1.0
10,10397.079141419988,3090.7911,3114.6,3089.3,3129.03,3067.7,1632391200000,16214,,,,,1.0,,,1.0,,1.0,1.0
11,8852.095091959996,3062.8948,3089.07,3062.26,3093.33,3040.79,1632394800000,14308,,,,,1.0,,,1.0,,1.0,1.0
12,9358.48365151,3071.8001,3062.09,3069.96,3096.27,3049.07,1632398400000,16699,,,,,1.0,,,1.0,,1.0,1.0
13,9718.165065279996,3096.0924,3070.49,3113.19,3124.54,3063.88,1632402000000,17769,,,,60.09268329001529,0.7906810035842294,67.39948674080402,,1.0,-32.60051325919598,0.6618535586277522,1.0
14,11415.466141309997,3128.1269,3113.66,3136.42,3144.19,3108.25,1632405600000,17332,,,,65.0824668188788,0.8859190988223247,87.27117194183054,,1.0,-12.728828058169459,0.8982078853046594,1.0
15,11507.39923778,3110.0726,3136.36,3093.74,3140.18,3082.61,1632409200000,17844,,,,52.17474977008201,0.5663082437275986,47.91421590806236,67.52829153023231,0.6750998668442078,-52.08578409193764,0.4563236047107015,1.0
16,11959.539092059991,3101.0721,3093.74,3102.72,3118.17,3086.9,1632412800000,17453,,,,54.23153247333677,0.6302099334357398,56.040177359514715,63.74185506980253,0.6336167161733074,-43.959822640485285,0.5427547363031234,1.0
17,27620.943072059978,3155.8385,3103.81,3164.5,3182.34,3102.73,1632416400000,29380,,,,65.29090913192162,0.88868407578085,87.39667961850927,63.78369096202878,0.6340264263033903,-12.603320381490725,0.8998463901689708,1.0
18,12511.938238129993,3147.5444,3165.15,3148.74,3175.46,3130.0,1632420000000,19187,,,,61.22650626418313,0.8150537634408602,76.26280466266314,73.23322054689571,0.7452627266209157,-23.737195337336857,0.7648745519713261,1.0
19,7120.54371879,3151.0433,3148.75,3150.35,3160.89,3139.71,1632423600000,13930,,,,61.49024211391673,0.8209933435739888,77.40021193924395,80.35323207347211,0.844207723035952,-22.599788060756055,0.7792114695340502,1.0
20,8869.513616489996,3135.9187,3149.47,3142.01,3152.59,3122.01,1632427200000,14150,,,,59.242270689117404,0.7698924731182796,71.50830095372669,75.05710585187792,0.7717914575437878,-28.491699046273315,0.7083461341525857,1.0
21,7762.989977180002,3145.3942,3142.33,3146.44,3155.72,3132.22,1632430800000,11601,,,,60.07715900142181,0.7900665642601127,74.6379371246909,74.51548333922051,0.7639045375396907,-25.36206287530911,0.7469534050179212,1.0
22,8390.349324029989,3144.2209,3146.36,3142.4,3164.6,3124.9,1632434400000,16586,,,,58.89237336691487,0.7608806963645673,71.78382197103497,72.64335334981752,0.7372733790842979,-28.216178028965032,0.7118279569892473,1.0
23,5062.399744089999,3142.1339,3141.88,3154.62,3158.92,3126.32,1632438000000,13050,,,,61.373721952441876,0.8184331797235023,80.41681384669712,75.61285764747433,0.7797808050804056,-19.583186153302876,0.8124935995903738,1.0
24,6540.890412590001,3144.2734,3154.42,3128.87,3161.69,3126.24,1632441600000,13556,,,,53.979612884007636,0.622836661546339,62.22536206287518,71.47533262686909,0.7241626549216429,-37.77463793712482,0.6046082949308755,1.0
25,7755.528778749994,3118.6919,3128.61,3099.25,3140.26,3091.29,1632445200000,15059,14.73135052736734,,,46.96968510297806,0.40634920634920635,37.65288512043209,60.098353676668125,0.5900850148519922,-62.34711487956791,0.35320020481310804,1.0
26,7739.848401249998,3097.4793,3098.94,3103.12,3111.08,3083.54,1632448800000,15012,11.66626527215476,,,47.92128552871961,0.4363543266769073,33.125105520850724,44.33445090138599,0.41493393424152414,-66.87489447914928,0.3020993343573989,0.15637817883511074
27,6715.670491149998,3095.3031,3102.2,3076.54,3114.3,3069.01,1632452400000,14020,7.01155442807476,,,42.3061228505857,0.26881720430107525,6.644313068031193,25.807434569771335,0.20536720270408687,-93.3556869319688,0.026932923707117255,0.0
28,7292.30771092,3074.7212,3076.33,3081.03,3089.73,3058.5,1632456000000,14301,3.642974086666527,,,43.510269641141456,0.30148489503328213,18.192829457364482,19.3207493487488,0.11881593772406022,-81.80717054263552,0.13220686123911932,0.15689089417555374
29,9948.973463819995,3060.5948,3081.02,3075.0,3084.36,3040.18,1632459600000,17560,0.4812319492480128,,,42.23535385490186,0.2667690732206861,24.493528418683237,16.443556981359638,0.0832735839393629,-75.50647158131676,0.20655401945724527,0.0
30,7921.030301740001,3080.6853,3074.96,3060.66,3097.47,3060.18,1632463200000,15977,-3.1453321977237465,,,39.287154661279715,0.20102406554019459,14.406302757456368,19.030886877834693,0.11574311174843797,-85.59369724254363,0.09298515104966718,0.0
31,16935.123946049986,3096.4641,3060.45,3090.9,3120.76,3058.18,1632466800000,21406,-3.5385054502207822,,,47.59470819249524,0.4259088581669227,37.492607924305275,25.46414636681496,0.2010652463382157,-62.507392075694725,0.35064004096262164,0.4054552912223134
32,7802.788229109994,3090.4544,3090.0,3058.5,3114.73,3040.0,1632470400000,12541,-6.390837708442632,,,41.10487156817681,0.2400409626216078,14.847512038523286,22.24880757342831,0.15876267540714945,-85.15248796147671,0.0974910394265233,0.1764766201804758
33,73602.49548705996,2929.8616,3058.57,2861.65,3063.66,2855.21,1632474000000,78727,-24.255874802964627,-3.042114724139941,-21.213760078824684,21.72360664198017,0.01157194060419867,2.081515239665166,18.140545067497907,0.10345180784594898,-97.91848476033483,0.0039938556067588326,0.0
34,50959.979267839975,2860.7168,2859.86,2835.72,2908.7,2810.01,1632477600000,59707,-40.044768540234145,-10.442645487358783,-29.602123052875363,20.361678542890303,0.007680491551459293,7.25062748526456,8.059884921151005,0.009218477926866742,-92.74937251473546,0.03215565796210958,0.0
35,76553.29001618,2792.8907,2835.72,2828.55,2852.47,2731.3,1632481200000,84090,-52.53059960458813,-18.860236310804652,-33.67036329378348,19.988510871066623,0.006963645673323093,22.444034156473588,10.592058960467773,0.02407047014237427,-77.55596584352641,0.183205325140809,0.0
36,35606.82547397997,2821.3663,2829.1,2806.76,2855.0,2794.14,1632484800000,49588,-63.45254018657897,-27.778697085959514,-35.67384310061946,18.85742498569701,0.0052227342549923195,17.532935244778006,15.742532295505384,0.076103656662911,-82.467064755222,0.1259600614439324,0.0
