,volume,volume_weighted_average_price,open,close,high,low,time,number_transactions
0,12595.15069052999,3069.1479,3078.42,3043.74765942,3098.09,3040.8,1632355200000,22974
1,7842.31132433,3055.9947,3045.11,3071.28,3077.3,3034.4,1632358800000,16915
2,8841.178901589996,3075.9365,3071.23,3078.37,3090.01,3054.48,1632362400000,14733
3,14743.939097109991,3098.4506,3078.37,3120.82,3124.24,3066.92,1632366000000,23883
4,15281.291678859996,3119.0623,3118.8,3115.04,3136.41,3102.6,1632369600000,19022
5,5981.915768589998,3117.5609,3113.91808458,3114.88,3137.13,3103.8,1632373200000,12354
6,8649.0899185,3115.5392,3116.16,3135.99,3140.23,3098.1,1632376800000,18004
7,7348.371914269996,3131.387,3136.0,3147.8,3150.0,3113.9,1632380400000,12598
8,6748.601197969997,3134.413,3147.99,3120.45,3151.3,3117.1,1632384000000,10867
9,4998.638608790002,3121.6105,3121.03,3114.7,3138.39,3107.2,1632387600000,10166
10,10397.079141419988,3090.7911,3114.6,3089.3,3129.03,3067.7,1632391200000,16214
11,8852.095091959996,3062.8948,3089.07,3062.26,3093.33,3040.79,1632394800000,14308
12,9358.48365151,3071.8001,3062.09,3069.96,3096.27,3049.07,1632398400000,16699
13,9718.165065279996,3096.0924,3070.49,3113.19,3124.54,3063.88,1632402000000,17769
14,11415.466141309995,3128.1269,3113.66,3136.42,3144.19,3108.25,1632405600000,17332
15,11507.39923778,3110.0726,3136.36,3093.74,3140.18,3082.61,1632409200000,17844
16,11959.539092059993,3101.0721,3093.74,3102.72,3118.17,3086.9,1632412800000,17453
17,27620.943072059978,3155.8385,3103.81,3164.5,3182.34,3102.73,1632416400000,29380
18,12511.938238129991,3147.5444,3165.15,3148.74,3175.46,3130.0,1632420000000,19187
19,7120.54371879,3151.0433,3148.75,3150.35,3160.89,3139.71,1632423600000,13930
20,8869.513616489996,3135.9187,3149.47,3142.01,3152.59,3122.01,1632427200000,14150
21,7762.989977180002,3145.3942,3142.33,3146.44,3155.72,3132.22,1632430800000,11601
22,8390.349324029989,3144.2209,3146.36,3142.4,3164.6,3124.9,1632434400000,16586
23,5062.399744089999,3142.1339,3141.88,3154.62,3158.92,3126.32,1632438000000,13050
24,6540.890412590001,3144.2734,3154.42,3128.87,3161.69,3126.24,1632441600000,13556
25,7755.528778749994,3118.6919,3128.61,3099.25,3140.26,3091.29,1632445200000,15059
26,7739.848401249998,3097.4793,3098.94,3103.12,3111.08,3083.54,1632448800000,15012
27,6715.670491149998,3095.3031,3102.2,3076.54,3114.3,3069.01,1632452400000,14020
28,7292.30771092,3074.7212,3076.33,3081.03,3089.73,3058.5,1632456000000,14301
29,9948.973463819995,3060.5948,3081.02,3075.0,3084.36,3040.18,1632459600000,17560
30,7921.030301740001,3080.6853,3074.96,3060.66,3097.47,3060.18,1632463200000,15977
31,16935.123946049986,3096.4641,3060.45,3090.9,3120.76,3058.18,1632466800000,21406
32,7802.788229109994,3090.4544,3090.0,3058.5,3114.73,3040.0,1632470400000,12541
33,73602.49548705996,2929.8616,3058.57,2861.65,3063.66,2855.21,1632474000000,78727
34,50959.979267839975,2860.7168,2859.86,2835.72,2908.7,2810.01,1632477600000,59707
35,76553.29001618,2792.8907,2835.72,2828.55,2852.47,2731.3,1632481200000,84090
36,35606.82547397997,2821.3663,2829.1,2806.76,2855.0,2794.14,1632484800000,49588
37,45710.256761309975,2823.9412,2804.36,2864.97,2882.84,2770.72,1632488400000,58163
38,49705.943322059975,2904.2111,2864.65,2900.04,2944.77,2859.71,1632492000000,53636
39,29971.54961062999,2880.5322,2900.04,2879.23,2907.37,2844.67,1632495600000,34991
40,18741.250335359986,2895.084,2879.27,2908.65,2918.98,2868.25,1632499200000,27971
41,16680.169716099994,2882.828,2908.21,2884.3,2909.0,2864.22,1632502800000,26075
42,11466.82204252,2898.9531,2881.56,2895.08,2912.74,2878.57,1632506400000,20525
43,11965.081976359994,2902.0639,2895.06,2904.9,2924.58,2886.92,1632510000000,19088
44,19739.903432840005,2929.7603,2905.05,2946.39,2954.41,2902.05,1632513600000,26067
45,14574.679022379998,2967.0058,2946.39,2960.76,2984.0,2938.84,1632517200000,19500
46,9349.702622349996,2958.0004,2960.44,2959.75,2970.3,2945.51,1632520800000,17945
47,9651.657820499993,2933.8733,2960.09,2930.61,2964.54,2907.89,1632524400000,16132
48,8232.507935679998,2936.3209,2931.8,2946.05,2958.49,2913.44,1632528000000,16319
49,11978.139665449995,2907.8379,2946.05,2913.62,2950.6,2874.17,1632531600000,19434
50,6989.657534079999,2916.3268,2913.24,2899.26,2933.3,2896.15,1632535200000,14280
51,5631.803170699998,2914.4513,2899.18,2914.73,2930.9,2896.26,1632538800000,13527
52,4358.406700499998,2935.1275,2914.2,2931.25,2947.03,2914.2,1632542400000,10940
53,4143.711464329999,2923.7862,2931.26,2910.17,2945.14406934,2906.47,1632546000000,10696
54,2856.6036087600005,2924.2296,2909.98,2933.01,2939.0,2906.9,1632549600000,8376
55,4783.655350169999,2907.3207,2932.99,2889.24,2934.74,2885.0,1632553200000,11173
56,25284.174612889987,2853.9442,2889.04,2908.59,2923.7,2800.0,1632556800000,32408
57,17781.448723129994,2927.3028,2908.74,2940.93,2953.03,2887.55,1632560400000,19253
58,8077.168156199995,2951.8105,2940.93,2941.28,2969.63,2934.45,1632564000000,11413
59,6113.103248759998,2912.7428,2941.28,2914.78,2941.28,2893.17,1632567600000,12934
60,7537.040252740001,2910.6622,2914.31,2908.0,2926.24,2900.0,1632571200000,13299
61,7628.626419969997,2915.8619,2905.76,2907.1,2947.7,2894.02,1632574800000,15758
62,12456.290647009999,2883.0997,2905.33,2874.0,2918.6,2855.4,1632578400000,21579
63,16464.453961089966,2908.5311,2874.09,2925.9,2947.14,2845.26,1632582000000,24412
64,20800.450998060023,2886.7017,2923.79,2901.38,2933.83,2850.91,1632585600000,29260
65,12417.204031610006,2897.7647,2903.0,2900.55,2914.7,2886.89,1632589200000,18976
66,6814.071069939998,2899.5035,2900.54,2899.96,2917.98,2886.24,1632592800000,13810
67,9391.491723329997,2913.9573,2899.95,2919.51,2930.76,2890.88,1632596400000,14547
68,8259.978994189996,2921.2476,2918.6,2922.7,2942.8,2902.45,1632600000000,14096
69,7733.349397369999,2912.351,2922.67,2915.87,2927.0,2895.99,1632603600000,12646
70,10271.699100239995,2931.9247,2915.66,2935.6,2944.0,2912.87,1632607200000,14179
71,8858.793509519997,2929.2564,2935.61,2924.01,2948.25,2909.6,1632610800000,14783
72,10414.62919611999,2899.6066,2923.91,2898.48,2933.96,2875.42,1632614400000,16702
